eo,de.a,de,de.f,en,pl,_,0,bazo
ŝuo,e,Schuh,e,shoe,but,o,1,
ŝtrumpeto,,Socke,,sock,skarpeta,o,1,
somero,,Sommer,,summer,lato,o,1,
sunookulvitroj,e,Sonnenbrille,,sunglasses,okulary przeciwsłoneczne,o,1,
urbo,,Stadt,,city,miasto,o,1,
urboplano,r,Stadtplan,,city map,plan miasta,o,1,
ŝtrumpo,,Strumpf,,stocking,pończocha,o,1,
horo,,Stunde,,hour ,godzina,o,1,
serĉo,,Suchen,,"search, quest",szukanie,o,1,
naztuko,,Taschentuch,,handkerchief,chusteczka,o,1,
teo,r,Tee,,tea,herbata,o,1,
veturbileto,s,Ticket,,ticket,bilet,o,1,
ekzerco,,Übung,,"exercise, practice",ćwiczenie,o,1,
horloĝo,e,Uhr,,clock; watch,zegar,o,1,
tolaĵo,,Unterwäsche,,underwear,bielizna,o,1,
varo,,Ware,,ware,towar,o,1,
vekhorloĝo,r,Wecker,,alarm clock,budzik,o,1,
vintro,,Winter,,winter,zima,o,1,
tempo,,Zeit,,time,czas,o,1,
gazeto,e,Zeitung,,newspaper,gazeta,o,1,
cigaredo,,Zigarette,,cigarette,papieros,o,1,
depreni,,abholen,,to deduct,odebrać,i,2,
ekstari,,aufstehen,,to  get up,wstawać,i,2,
bedaŭri,,bedauern,,to regret,"żałować, ubolewać",i,2,
ricevi,,bekommen,,to receive,odbierać,i,2,
ricevi,,bekommen,,"to get, to receive",dostać,i,2,
konsili,,beraten,,to advise,doradzać,i,2,
bezoni,,brauchen,,to need,potrzebować,i,2,
enpaki,,einpacken,,to pack,zapakowac,i,2,
manĝi,,essen,,to eat,jeść,i,2,
kapti,,fangen,,to catch,chwytać,i,2,
malami,,hassen,,to hate,nienawidzić,i,2,
helpi,,helfen,,to help,pomagać,i,2,
kuiri,,kochen,,to cook,gotować,i,2,
veni,,kommen,,to come,przyjść,i,2,
kontroli,,kontrollieren,,to control,kontrolować,i,2,
konduki,,leiten,,to conduct,kierować,i,2,
organizi,,organisieren,,to organize,zorganizować,i,2,
paki,,packen,,to pack,pakować,i,2,
fumi,,rauchen,,to smoke,palić,i,2,
komputi,,rechnen,,to compute,liczyć,i,2,
vojaĝi,,reisen,,to travel,podróżować,i,2,
vidi,,sehen,,to see,ogladać,i,2,
stari,,stehen,,to stand,stać,i,2,
serĉi,,suchen,,to search,szukać,i,2,
serĉi,,suchen,,"to look for, to seek",szukać,i,2,
renkonti,,treffen,,to meet,spotykać,i,2,
perlabori ,,verdienen,,to earn,zarabiać,i,2,
prepari,,vorbereiten,,to prepare,przygotować,i,2,
povra,,arm,,poor,biedny,a,3,
malproksima,,fern,,far,daleki,a,3,
granda,,groß,,"large, great, big",duży,a,3,
bedaŭrinde,,leider,,unfortunately; regrettably,niestety,e,4,
